OnuIndex            Type        Mode    AuthInfo                State
gpon-onu_1/1/1:73   F670L       sn      SN:ZTEGC4B7B5E8         ready
gpon-onu_1/1/1:74   EG-8120H    sn      SN:HWTCA8911A9B         ready
gpon-onu_1/1/1:75   F670L       sn      SN:ZTEGC4BAB5A0         ready
gpon-onu_1/1/1:76   F670L       sn      SN:ZTEGC4BABD7A         ready
gpon-onu_1/1/1:77   F670L       sn      SN:ZTEGC4B7CA32         ready
gpon-onu_1/1/1:78   F670L       sn      SN:ZTEGC4BAB5D0         ready
gpon-onu_1/1/1:79   F670L       sn      SN:ZTEGC4B7B2BF         ready
gpon-onu_1/1/1:80   EG-8010H    sn      SN:HWTCB817BD9B         ready
gpon-onu_1/1/1:81   F670L       sn      SN:ZTEGC4B7B2F3         ready
gpon-onu_1/1/1:82   F670L       sn      SN:ZTEGC4BA96AE         ready
gpon-onu_1/1/1:83   F670L       sn      SN:ZTEGC4BA88A7         ready
gpon-onu_1/1/1:84   F670L       sn      SN:ZTEGC4B7F101         ready
gpon-onu_1/1/1:85   F670L       sn      SN:ZTEGC4B7B2BC         ready
gpon-onu_1/1/1:86   F670L       sn      SN:ZTEGC4BAB553         ready
gpon-onu_1/1/1:87   F670L       sn      SN:ZTEGC4BAB5D2         ready
gpon-onu_1/1/1:88   F670L       sn      SN:ZTEGC4BAB02D         ready
gpon-onu_1/1/1:89   F670L       sn      SN:ZTEGC4BA9242         ready
gpon-onu_1/1/1:90   F670L       sn      SN:ZTEGC4B7CA0A         ready
gpon-onu_1/1/1:91   F670L       sn      SN:ZTEGC4B79D73         ready
gpon-onu_1/1/1:92   F670L       sn      SN:ZTEGC4B7CB7D         ready
gpon-onu_1/1/1:93   F670L       sn      SN:ZTEGC4BAB537         ready
gpon-onu_1/1/1:94   F670L       sn      SN:ZTEGC4BAB6AD         ready
gpon-onu_1/1/1:95   F670L       sn      SN:ZTEGC4BAB53C         ready
gpon-onu_1/1/1:96   ONU-BRIDGE  sn      SN:ZTEGC4BAE149         ready
gpon-onu_1/1/1:97   F670L       sn      SN:ZTEGC4B7B513         ready
gpon-onu_1/1/1:98   F670L       sn      SN:ZTEGC4B7CBE0         ready
gpon-onu_1/1/1:99   ONU-BRIDGE  sn      SN:ZTEGC4B79D4F         ready
gpon-onu_1/1/1:100  ONU-BRIDGE  sn      SN:ZTEGC4B7B57A         ready
gpon-onu_1/1/1:102  F670L       sn      SN:ZTEGC4B7A409         ready
gpon-onu_1/1/1:103  F670L       sn      SN:ZTEGC4BA8AC5         ready
gpon-onu_1/1/1:104  ONU-BRIDGE  sn      SN:ZTEGC4B39418         ready
gpon-onu_1/1/1:105  F670L       sn      SN:ZTEGC4B7CB76         ready
gpon-onu_1/1/1:106  F670L       sn      SN:ZTEGC4BA9636         ready
gpon-onu_1/1/1:107  F670L       sn      SN:ZTEGC4BAE0E4         ready
gpon-onu_1/1/1:108  F670L       sn      SN:ZTEGC4B7F748         ready
gpon-onu_1/1/1:109  F670L       sn      SN:ZTEGC4BABD53         ready
gpon-onu_1/1/1:110  F670L       sn      SN:ZTEGC4BABDAE         ready
gpon-onu_1/1/1:111  F670L       sn      SN:ZTEGC4BABE44         ready
gpon-onu_1/1/1:112  F670L       sn      SN:ZTEGC4BABD23         ready
gpon-onu_1/1/1:113  F670L       sn      SN:ZTEGC4B7C9F0         ready
gpon-onu_1/1/1:114  F670L       sn      SN:ZTEGC4BABCF7         ready
gpon-onu_1/1/1:115  F670L       sn      SN:ZTEGC4BABCC2         ready
gpon-onu_1/1/1:116  F670L       sn      SN:ZTEGC8EC4058         ready
gpon-onu_1/1/1:117  F670L       sn      SN:ZTEGC8EBEC9B         ready
gpon-onu_1/1/1:118  F670L       sn      SN:ZTEGC8EBCF24         ready
gpon-onu_1/1/1:119  F670L       sn      SN:ZTEGC8EC45B6         ready
gpon-onu_1/1/1:120  F670L       sn      SN:ZTEGC8EC45A4         ready
gpon-onu_1/1/1:121  F670L       sn      SN:ZTEGC8EC4550         ready
gpon-onu_1/1/1:122  F670L       sn      SN:ZTEGC8EBC57F         ready
gpon-onu_1/1/1:123  F670L       sn      SN:ZTEGC4BA8EA9         ready
gpon-onu_1/1/1:124  F670L       sn      SN:ZTEGC8EBECBE         ready
gpon-onu_1/1/1:125  F670L       sn      SN:ZTEGC8EC3001         ready
gpon-onu_1/1/1:126  F670L       sn      SN:ZTEGC8EC437A         ready
gpon-onu_1/1/1:127  F670L       sn      SN:ZTEGC8EBCD73         ready
gpon-onu_1/1/1:128  F670L       sn      SN:ZTEGC8EBF286         ready
